symbol,name,market_cap,volume_24h
HNT,Helium,265209557,3689135.0
LN,LINK,261237405,562157.0
BTG,Bitcoin Gold,259573329,3523398.0
ANKR,Ankr Network,257938625,24367855.0
ILV,Illuvium,254020121,5512627.0
ONE,Harmony,247425560,18558045.0
MAGIC,Magic,245551051,28265806.0
BONE,Bone ShibaSwap,244844466,5954768.0
HBTC,Huobi BTC,244442986,32764.0
BAL,Balancer,244210375,6105825.0
CVXCRV,Convex CRV,242157283,162041.0
GMT,STEPN,238284041,46692525.0
GLM,Golem,233063796,5070060.0
JST,JUST,229590803,16258677.0
GFARM2,Gains Farm,229480531,562.68
ELG,Escoin,228752259,224464.0
EURT,Euro Tether,226408526,1674842.0
RON,Ronin,223846179,2053532.0
MX,MX,222969287,198924.0
GLMR,Moonbeam,222357935,6106065.0
IOTX,IoTeX,220968256,24402219.0
ZRX,0x Protocol,219151985,19583998.0
DAO,DAO Maker,215718438,980792.0
ASTRAFER,Astrafer,213103354,25853.0
ONT,Ontology,212477617,12999619.0
KDA,Kadena,209276926,5183182.0
BAND,Band Protocol,208693890,11163260.0
LYXE,LUKSO,207775097,1942632.0
ECOIN,Ecoin,202482395,0.00043911
SUSHI,Sushi,201056793,24721346.0
POLY,Polymath,200792876,2198541.0
AMP,Amp,200308337,11635905.0
CDT,Blox,200113080,123995.0
ID,SPACE ID,198893109,158183417.0
SC,Siacoin,197918125,3999562.0
SSV,SSV Network,196851737,27847485.0
IOST,IOST,193663726,14960538.0
BICO,Biconomy,193606951,3691105.0
KRD,Krypton DAO,192626371,60334.0
FUC,FUBT Token,192276653,273077.0
USTC,TerraClassicUSD,191765347,6544486.0
WAVES,Waves,191761195,19775118.0
GNS,Gains Network,186231719,14351747.0
TOMI,tomiNet,184620168,9089564.0
MULTI,Multichain,181360939,2213762.0
FLUX,Flux,179599236,3549615.0
SKL,SKALE,176635012,15942480.0
RSR,Reserve Rights,176543977,6594827.0
OMI,ECOMI,176204460,774025.0
WAXP,WAX,175461170,4643613.0
BORA,BORA,175120326,3576871.0
SFRXETH,Staked Frax Ether,174600539,4997.88
ACS,Access Protocol,171774137,14202647.0
ALUSD,Alchemix USD,171558859,28594.0
ACH,Alchemy Pay,168683052,24392744.0
CTSI,Cartesi,168176420,52513938.0
JOE,JOE,168113007,14926547.0
OMG,OMG Network,165324281,76043558.0
LQTY,Liquity,164594622,16138693.0
EVMOS,Evmos,163465347,1359208.0
CHSB,SwissBorg,160878798,402929.0
OCEAN,Ocean Protocol,160541577,27263686.0
SFP,SafePal,160444858,3102519.0
STRD,Stride,159954604,119595.0
BRISE,Bitgert,159746938,4554104.0
TEL,Telcoin,156927821,1338227.0
LPT,Livepeer,156812250,7905459.0
SYN,Synapse,155329386,21344734.0
CORE,Core,154654247,9876864.0
POLYX,Polymesh,152562565,62930930.0
BTC.B,Bitcoin Avalanche Bridged (BTC.b),151416185,3328338.0
HIVE,Hive,150451510,6599371.0
SURE,inSure DeFi,148517817,2890154.0
KUB,Bitkub Coin,148345544,184245.0
ELON,Dogelon Mars,148203553,2194702.0
DGB,DigiByte,148103540,3794566.0
DESO,Decentralized Social,142820925,178641.0
LSK,Lisk,142115466,6687727.0
TRAC,OriginTrail,139230378,1617033.0
EXRD,e-Radix,139078267,381792.0
SETH2,sETH2,137441767,138435.0
EURS,STASIS EURO,137150645,12187958.0
TRIBE,Tribe,136214302,462306.0
CELR,Celer Network,133139530,54356326.0
UMA,UMA,133016960,5715732.0
NU,NuCypher,132810265,2150.45
ELF,aelf,132715460,3475641.0
ZEN,Horizen,131478093,4918760.0
COCOS,COCOS BCX,129676249,66165822.0
SCRT,Secret,129488864,1615669.0
PEPE,Pepe,128533592,34795426.0
STG,Stargate Finance,128326881,10626533.0
CKB,Nervos Network,126993042,5953869.0
API3,API3,124653580,2922090.0
ANT,Aragon,124302941,12291853.0
CANTO,CANTO,122607921,7387205.0
EWT,Energy Web,122543173,789817.0
